en_name,jp_name,cuisine,rating,price,url
ISHIYA,イシヤ 東急さっぽろ店,蛋糕,3.13,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1040852/
Kimuchikan,沈菜館 大丸札幌店,韓國料理,3.05,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1041509/
zadon,ザ・どん 札幌駅エスタ地下街店,海鮮蓋飯/炸豬丼飯・炸豬排便當/親子丼飯,3.16,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1003945/
Nadamanchuubou,なだ万厨房 大丸札幌店,便當/日式料理（其他）,3.05,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1033730/
Sobadokorobensaitei,そば処 弁菜亭 エスタ店,蕎麥麵/站著吃蕎麥麵/烏龍麵,3.31,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1048478/
ajidokorojimbaori,味処　陣羽織,日式小酒館/定食、食堂/親子丼飯,3.36,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1015918/
Hitokuchigyouzatenten,ひとくち餃子点天 大丸札幌店,其他/餃子,3.17,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1027652/
nikujirugyouzanodandadan,肉汁餃子のダンダダン 札幌店,餃子/日式小酒館/定食、食堂,3.22,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010102/1064036/
hyakunanajuugododenotantammen,175°DENO 担担麺 札幌南口店,拉麵/担担麵/日式小酒館,3.48,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1056227/
ra-menshodai,らーめん初代 札幌らーめん共和国店,拉麵,3.45,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1045137/
Sushidokorohokusai,すし処 北斎,壽司/日本酒,3.56,"￥8,000～￥9,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1000969/
tonkatsuwakou,とんかつ和幸 ステラプレイス札幌店,炸豬排,3.07,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1030023/
Sanjeruman,サンジェルマン,喫茶店/咖啡店,3.26,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1019968/
Makudonarudo,マクドナルド 札幌アピア店,漢堡,3.19,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1005019/
Tonkatsutamafuji,とんかつ玉藤 札幌エスタ店,炸豬排,3.37,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1002311/
Teppanyakiitou,鉄板焼 伊藤,鐵板燒/無國籍料理/魚類料理・海鮮料理,3.36,"￥15,000～￥19,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1008101/
Shirokumabekari,シロクマベーカリー スタンド,三明治/麵包/甜點（其他）,3.42,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1052977/
Shijan,シジャン 札幌ステラプレイス店,韓國料理/冷麵,3.06,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1035764/
Sobakikou,蕎麦紀行,蕎麥麵,3.44,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1006917/
Chizuoukoku,チーズ王国 大丸札幌店,其他,3.17,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1041609/
Kurukurusushi,くるくる寿し,回轉壽司/壽司/其他,3.48,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005951/
tenshinsapporohounoya,点心札幌 包の家 東急百貨店さっぽろ店,飲茶・點心/餃子,3.24,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1031109/
Sapporokaniya,札幌かに家 大丸札幌店,壽司/螃蟹/海鮮蓋飯,3.03,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1045169/
Tama,たま アピア店,烤雞串/日式小酒館/串炸・串豬排,3.36,"￥2,000～￥2,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1063612/
Kitakarou,北菓楼 札幌エスタ店,西式甜點（其他）/日式點心,3.17,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1009635/
Kamaei,かま栄 札幌エスタ店,其他,3.18,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1035888/
sukairesutorantanchou,スカイレストラン「丹頂」 ＪＲタワーホテル日航札幌,懷石 / 會席料理/魚類料理・海鮮料理/日式料理（其他）,3.47,"￥8,000～￥9,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1005557/
Gu,和惣本家 グゥー エスタ札幌店,熟食,3.31,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1053300/
DAVID DOUGHNUTS,DAVID DOUGHNUTS 札幌エスタ店,甜甜圈/西式甜點（其他）,3.23,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1070557/
Biennale,ビエンナーレ,便當/熟食,3.35,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1052978/
Tokachidaimyousofutokurimu,十勝大名ソフトクリーム,霜淇淋/鯛魚燒・大判燒,3.41,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1055502/
Sumiyakirobatakushiro,炭焼炉ばた くし路 新北海道ビル店,爐端燒/日式小酒館,3.38,"￥5,000～￥5,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1004824/
Kitakarou,北菓楼 大丸札幌店,蛋糕/年輪蛋糕,3.24,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1008440/
Tonkatsutamafuji,とんかつ玉藤 エスタ大食品街店,便當,3.19,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1029246/
Imonohana,芋の華 ホクレンビル店,大腸火鍋/郷土料理（其他）/雞肉料理,3.23,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1008692/
Sebunirebun,セブンイレブン 札幌北7条西5店,其他,3.13,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010101/1043775/
Ryuugetsu,柳月 大丸札幌店,蛋糕/西式甜點（其他）/日式點心,3.08,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1025934/
Shikisaitei,回転寿司 北海道四季彩亭,回轉壽司,3.46,"￥3,000～￥3,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1052411/
Yuuduru,遊鶴 アピア店,蕎麥麵/天婦羅/小酒館・餐飲酒館（其它）,3.23,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1055323/
Sapporoshimmendokoro yukimura,札幌真麺処 幸村 札幌らーめん共和国店,拉麵/餃子,3.46,～￥999,https://tabelog.com/tw/hokkaido/A0101/A010102/1061230/
shikisai,四季彩 札幌駅前店,日式小酒館/魚類料理・海鮮料理/涮涮鍋,3.14,"￥4,000～￥4,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1056859/
Satoudou,佐藤堂,聖代/馬卡龍/蛋糕,3.19,"￥1,000～￥1,999",https://tabelog.com/tw/hokkaido/A0101/A010101/1068994/
